Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
dio9x,cypher,278,34,17,4,17,177.9,21,4,3,1,8230,Inga,Real,16,14,6,6,6,6,ASCENT,1.14
ceegu1N,omen,252,26,24,10,2,207.0,21,1,2,-1,8230,Inga,Real,16,14,6,6,6,6,ASCENT,1.14
Pernalonga,raze,240,23,26,13,-3,148.3,9,8,5,3,8230,Inga,Real,16,14,6,6,6,6,ASCENT,1.14
ducK,sova,203,18,20,20,-2,142.7,11,2,1,1,8230,Inga,Real,16,14,6,6,6,6,ASCENT,1.14
jacobin,breach,193,19,23,16,-4,120.4,24,3,1,2,8230,Inga,Real,16,14,6,6,6,6,ASCENT,1.14
Gdz,omen,258,25,27,7,-2,166.5,29,3,6,-3,8230,Real,Inga,14,16,6,6,6,6,ASCENT,1.14
inq,jett,230,24,24,3,0,136.9,29,5,3,2,8230,Real,Inga,14,16,6,6,6,6,ASCENT,1.14
cfn,reyna,221,27,21,8,6,131.3,26,1,0,1,8230,Real,Inga,14,16,6,6,6,6,ASCENT,1.14
guiih9,sova,170,17,24,14,-7,119.2,18,2,8,-6,8230,Real,Inga,14,16,6,6,6,6,ASCENT,1.14
panzol,killjoy,169,17,24,8,-7,143.5,5,1,1,0,8230,Real,Inga,14,16,6,6,6,6,ASCENT,1.14
ceegu1N,omen,225,12,13,4,-1,126.1,13,1,1,0,8243,Inga,P,2,13,0,3,2,10,SPLIT,1.14
dio9x,cypher,218,10,13,3,-3,148.8,36,0,1,-1,8243,Inga,P,2,13,0,3,2,10,SPLIT,1.14
jacobin,breach,158,7,14,9,-7,97.5,24,0,0,0,8243,Inga,P,2,13,0,3,2,10,SPLIT,1.14
Pernalonga,raze,156,7,15,2,-8,92.9,11,1,4,-3,8243,Inga,P,2,13,0,3,2,10,SPLIT,1.14
ducK,jett,124,6,14,2,-8,67.7,14,2,5,-3,8243,Inga,P,2,13,0,3,2,10,SPLIT,1.14
pavel,raze,338,18,10,4,8,177.9,9,7,1,6,8243,P,Inga,13,2,10,2,3,0,SPLIT,1.14
rpAiva,sage,252,14,10,7,4,165.7,21,1,3,-2,8243,P,Inga,13,2,10,2,3,0,SPLIT,1.14
zaxdeuS,breach,231,15,9,5,6,113.9,25,1,0,1,8243,P,Inga,13,2,10,2,3,0,SPLIT,1.14
fAk,cypher,210,12,4,5,8,125.8,15,0,0,0,8243,P,Inga,13,2,10,2,3,0,SPLIT,1.14
mNdS,omen,181,10,9,2,1,115.2,13,2,0,2,8243,P,Inga,13,2,10,2,3,0,SPLIT,1.14
jacobin,breach,220,20,15,9,5,119.7,25,4,0,4,8243,Inga,P,13,10,7,4,6,6,ASCENT,1.14
ceegu1N,omen,213,19,16,5,3,140.1,15,1,1,0,8243,Inga,P,13,10,7,4,6,6,ASCENT,1.14
dio9x,cypher,213,19,14,1,5,140.4,19,1,2,-1,8243,Inga,P,13,10,7,4,6,6,ASCENT,1.14
ducK,sova,202,13,20,12,-7,139.0,21,2,2,0,8243,Inga,P,13,10,7,4,6,6,ASCENT,1.14
Pernalonga,raze,191,14,17,6,-3,120.0,14,3,7,-4,8243,Inga,P,13,10,7,4,6,6,ASCENT,1.14
pavel,raze,303,23,17,5,6,183.7,7,6,2,4,8243,P,Inga,10,13,6,6,4,7,ASCENT,1.14
mNdS,omen,249,22,15,6,7,142.0,23,1,1,0,8243,P,Inga,10,13,6,6,4,7,ASCENT,1.14
zaxdeuS,sova,181,16,16,8,0,131.6,23,1,1,0,8243,P,Inga,10,13,6,6,4,7,ASCENT,1.14
rpAiva,reyna,162,9,20,10,-11,116.5,21,3,4,-1,8243,P,Inga,10,13,6,6,4,7,ASCENT,1.14
fAk,killjoy,155,12,17,7,-5,115.3,13,1,3,-2,8243,P,Inga,10,13,6,6,4,7,ASCENT,1.14
ducK,sova,324,26,18,11,8,196.3,20,2,2,0,8243,Inga,P,11,13,9,3,2,10,BIND,1.14
Pernalonga,raze,256,21,18,10,3,184.8,13,5,3,2,8243,Inga,P,11,13,9,3,2,10,BIND,1.14
jacobin,breach,185,14,16,9,-2,120.4,22,4,0,4,8243,Inga,P,11,13,9,3,2,10,BIND,1.14
dio9x,cypher,179,16,18,1,-2,106.8,34,1,2,-1,8243,Inga,P,11,13,9,3,2,10,BIND,1.14
ceegu1N,omen,144,13,17,7,-4,80.2,2,1,4,-3,8243,Inga,P,11,13,9,3,2,10,BIND,1.14
pavel,raze,280,21,20,11,1,162.8,8,7,7,0,8243,P,Inga,13,11,10,2,3,9,BIND,1.14
zaxdeuS,sova,235,20,17,11,3,158.0,18,1,1,0,8243,P,Inga,13,11,10,2,3,9,BIND,1.14
mNdS,omen,206,21,15,2,6,113.6,28,0,1,-1,8243,P,Inga,13,11,10,2,3,9,BIND,1.14
rpAiva,sage,180,14,18,10,-4,119.7,19,1,2,-1,8243,P,Inga,13,11,10,2,3,9,BIND,1.14
fAk,cypher,134,11,20,4,-9,77.9,30,2,2,0,8243,P,Inga,13,11,10,2,3,9,BIND,1.14
mwzera,raze,317,19,13,5,6,175.4,14,5,3,2,6681,GL,Inga,13,4,4,1,9,3,HAVEN,1.12
JhoW,cypher,262,16,10,9,6,183.4,19,1,1,0,6681,GL,Inga,13,4,4,1,9,3,HAVEN,1.12
Jonn,reyna,259,16,13,7,3,163.5,16,2,3,-1,6681,GL,Inga,13,4,4,1,9,3,HAVEN,1.12
fznnn,sova,160,9,8,6,1,111.6,35,1,0,1,6681,GL,Inga,13,4,4,1,9,3,HAVEN,1.12
Nyang,omen,151,11,8,2,3,94.9,16,1,0,1,6681,GL,Inga,13,4,4,1,9,3,HAVEN,1.12
jacobin,breach,263,16,16,6,0,133.4,33,5,2,3,6681,Inga,GL,4,13,3,9,1,4,HAVEN,1.12
ducK,cypher,196,13,13,3,0,125.5,15,1,0,1,6681,Inga,GL,4,13,3,9,1,4,HAVEN,1.12
Pernalonga,raze,189,11,15,3,-4,119.8,14,1,1,0,6681,Inga,GL,4,13,3,9,1,4,HAVEN,1.12
dio9x,sova,137,7,13,5,-6,100.3,9,0,1,-1,6681,Inga,GL,4,13,3,9,1,4,HAVEN,1.12
ceegu1N,brimstone,125,5,14,8,-9,93.3,10,0,6,-6,6681,Inga,GL,4,13,3,9,1,4,HAVEN,1.12
mwzera,raze,437,26,13,8,13,264.7,15,1,1,0,6681,GL,Inga,13,4,5,0,8,4,BIND,1.12
Nyang,omen,200,15,7,6,8,102.6,26,1,1,0,6681,GL,Inga,13,4,5,0,8,4,BIND,1.12
fznnn,sova,173,8,8,9,0,102.4,24,1,1,0,6681,GL,Inga,13,4,5,0,8,4,BIND,1.12
JhoW,cypher,153,10,8,8,2,105.4,26,1,2,-1,6681,GL,Inga,13,4,5,0,8,4,BIND,1.12
Jonn,reyna,143,9,11,4,-2,85.5,26,3,5,-2,6681,GL,Inga,13,4,5,0,8,4,BIND,1.12
ducK,jett,297,18,14,2,4,170.2,28,5,0,5,6681,Inga,GL,4,13,4,8,0,5,BIND,1.12
dio9x,cypher,182,10,14,1,-4,108.8,26,2,2,0,6681,Inga,GL,4,13,4,8,0,5,BIND,1.12
jacobin,breach,148,8,13,9,-5,90.5,31,1,1,0,6681,Inga,GL,4,13,4,8,0,5,BIND,1.12
ceegu1N,brimstone,94,7,13,1,-6,49.2,6,0,2,-2,6681,Inga,GL,4,13,4,8,0,5,BIND,1.12
Pernalonga,raze,93,4,14,4,-10,66.0,6,2,2,0,6681,Inga,GL,4,13,4,8,0,5,BIND,1.12
dio9x,cypher,305,18,8,7,10,178.1,12,1,0,1,5280,NMDM,FKL,13,2,10,2,3,0,SPLIT,1.12
ducK,jett,273,15,8,3,7,147.2,25,4,0,4,5280,NMDM,FKL,13,2,10,2,3,0,SPLIT,1.12
Pernalonga,raze,256,14,9,2,5,155.4,15,3,1,2,5280,NMDM,FKL,13,2,10,2,3,0,SPLIT,1.12
ceegu1N,brimstone,230,13,10,4,3,137.3,13,3,1,2,5280,NMDM,FKL,13,2,10,2,3,0,SPLIT,1.12
jacobin,breach,184,10,5,10,5,123.1,43,0,2,-2,5280,NMDM,FKL,13,2,10,2,3,0,SPLIT,1.12
qck,jett,207,9,15,3,-6,190.1,41,1,4,-3,5280,FKL,NMDM,2,13,0,3,2,10,SPLIT,1.12
mch,omen,184,11,13,0,-2,104.3,14,0,2,-2,5280,FKL,NMDM,2,13,0,3,2,10,SPLIT,1.12
pava,raze,148,7,14,2,-7,78.3,14,2,3,-1,5280,FKL,NMDM,2,13,0,3,2,10,SPLIT,1.12
Khalil,cypher,146,7,14,2,-7,115.4,22,0,1,-1,5280,FKL,NMDM,2,13,0,3,2,10,SPLIT,1.12
bld,sage,136,6,14,7,-8,88.9,32,1,1,0,5280,FKL,NMDM,2,13,0,3,2,10,SPLIT,1.12
jacobin,raze,257,15,14,0,1,137.0,22,2,1,1,5280,NMDM,FKL,4,13,1,4,3,9,HAVEN,1.12
Pernalonga,phoenix,225,12,13,3,-1,131.9,36,3,4,-1,5280,NMDM,FKL,4,13,1,4,3,9,HAVEN,1.12
dio9x,sova,217,11,14,4,-3,133.4,23,0,1,-1,5280,NMDM,FKL,4,13,1,4,3,9,HAVEN,1.12
ceegu1N,brimstone,132,7,15,4,-8,93.1,14,0,3,-3,5280,NMDM,FKL,4,13,1,4,3,9,HAVEN,1.12
ducK,cypher,112,6,15,3,-9,63.1,22,1,2,-1,5280,NMDM,FKL,4,13,1,4,3,9,HAVEN,1.12
